storm_id,duration,name,damage,date,wind,pressure,lat,long,rainfall,category,year,month,elevation
AL101974,12.0,Carmen,150000000.0,1974-09-08,130.0,937.0,29.23615,-91.16015,12.0,4,1974,9,0.560549259185791
AL101984,7.75,Diana,65000000.0,1984-09-13,80.0,981.0,33.9096,-78.0771,18.98,1,1984,9,5.393853664398193
AL101996,11.25,Josephine,130000000.0,1996-10-08,60.0,983.0,30.0,-83.9,11.39,0,1996,10,-0.6000000238418579
AL102002,13.0,Isidore,330000000.0,2002-09-26,55.0,984.0,29.235033333333334,-90.23586666666667,18.5,0,2002,9,0.3795953094959259
AL151984,6.0,Isidore,1000000.0,1984-09-27,50.0,1000.0,26.7048,-80.01833333333333,18.5,0,1984,9,-20.90140724182129
AL111950,7.0,King,28000000.0,1950-10-18,115.0,955.0,25.7,-80.2,15.44,3,1950,10,-3.199999809265137
AL111964,7.5,Isbell,10000000.0,1964-10-14,110.0,970.0,25.7274,-81.3521,9.46,2,1964,10,0.0
AL111971,9.5,Fern,30230000.0,1971-09-10,60.0,979.0,28.3408,-96.42416666666666,26.0,0,1971,9,1.429761409759521
AL111972,7.0,Carrie,1780000.0,1972-09-04,50.0,998.2291666666666,44.6383,-67.58361666666667,12.5,0,1972,9,10.58579349517822
AL111979,16.75,Frederic,2300000000.0,1979-09-13,115.0,951.6666666666666,30.4284,-88.3382,11.0,3,1979,9,13.17726707458496
AL111989,15.0,Hugo,7000000000.0,1989-09-22,120.0,938.5,32.974999999999994,-79.925,10.28,3,1989,9,0.0
AL111995,5.25,Jerry,40600000.0,1995-08-23,35.0,1006.6666666666666,26.845,-80.04346666666666,18.51,0,1995,8,1.703441739082336
AL141989,4.25,Jerry,70000000.0,1989-10-16,75.0,983.0,29.2,-95.0,18.51,1,1989,10,-0.3212235271930695
AL112000,6.75,Gordon,10800000.0,2000-09-18,60.0,992.5,29.383333333333333,-83.16666666666667,16.1,0,2000,9,-0.1516450047492981
AL121994,13.25,Gordon,400000000.0,1994-11-16,45.0,995.5,26.45,-81.95,16.1,0,1994,11,0.2847596108913422
AL112004,15.75,Jeanne,7500000000.0,2004-09-26,105.0,950.75,27.225,-80.3,24.98,2,2004,9,3.277739524841309
AL112017,14.5,Irma,50000000000.0,2017-09-10,100.0,936.6666666666666,25.998166666666666,-81.6955,21.66,2,2017,9,2.924092292785645
AL121985,6.75,Juan,1500000000.0,1985-10-29,67.0,974.0,29.5,-91.4,17.78,0,1985,10,-1.5031578540802
AL121988,9.0,Keith,3000000.0,1988-11-23,55.0,995.0,27.3,-82.6,10.27,0,1988,11,-8.192808151245117
AL122002,21.75,Kyle,5000000.0,2002-10-11,35.0,1009.5,32.6523,-79.87672500000001,8.72,0,2002,10,-5.0
AL122005,7.5,Katrina,125000000000.0,2005-08-29,116.0,922.0,29.384533333333334,-89.6027,16.43,3,2005,8,0.6701013445854187
AL131967,18.75,Beulah,200000000.0,1967-09-20,140.0,931.0,25.5299,-97.0078,27.38,4,1967,9,-42.56726455688477
AL131971,12.5,Edith,25000000.0,1971-09-16,85.0,978.0,29.661433333333335,-92.85443333333333,8.66,1,1971,9,1.175494350822288e-38
AL131975,11.5,Eloise,490000000.0,1975-09-23,110.0,957.1666666666666,30.42445,-86.2544,14.9,2,1975,9,0.5814802050590515
AL131985,8.0,Kate,300000000.0,1985-11-21,85.0,967.0,30.0,-85.4,8.32,1,1985,11,2.302289962768555
